order_id,customer_id,seller_id,product_id,order_date,order_status,quantity,price_per_unit,payment_date,payment_status,shipping_date,return_date,shipping providers,delivery_status
50,582,2,150,07-09-2023,Completed,1,699.99,07-09-2023,Payment Successed,08-09-2023,,fedex,Delivered
51,566,5,6,23-04-2022,Completed,1,1299.99,23-04-2022,Payment Successed,26-04-2022,,fedex,Delivered
52,657,3,173,18-09-2023,Completed,1,259.99,18-09-2023,Payment Successed,19-09-2023,,fedex,Delivered
53,106,2,231,23-04-2022,Inprogress,1,3499.99,23-04-2022,Payment Successed,24-04-2022,,bluedart,Shipped
54,694,4,185,31-03-2023,Returned,3,599.99,31-03-2023,Refunded ,01-04-2023,10-04-2023,bluedart,Returned 
55,321,2,91,20-06-2023,Completed,1,1099.99,20-06-2023,Payment Successed,21-06-2023,,fedex,Delivered
56,636,1,16,11-04-2021,Completed,1,699.99,11-04-2021,Payment Successed,13-04-2021,,fedex,Delivered
57,682,3,61,29-04-2021,Returned,2,999.99,29-04-2021,Refunded ,04-05-2021,15-05-2021,bluedart,Returned 
58,607,2,224,05-07-2021,Completed,1,1299.99,05-07-2021,Payment Successed,10-07-2021,,fedex,Delivered
59,571,2,204,01-07-2021,Completed,1,299.99,01-07-2021,Payment Successed,06-07-2021,,fedex,Delivered
60,613,4,83,05-08-2023,Completed,1,699.99,05-08-2023,Payment Successed,09-08-2023,,fedex,Delivered
61,569,1,223,22-11-2023,Completed,1,99.99,22-11-2023,Payment Successed,27-11-2023,,fedex,Delivered
62,743,1,123,22-05-2021,Completed,1,229.99,22-05-2021,Payment Successed,23-05-2021,,dhl,Delivered
63,727,1,69,10-10-2022,Completed,1,1799.99,10-10-2022,Payment Successed,11-10-2022,,dhl,Delivered
64,634,5,73,04-04-2022,Completed,1,999.99,04-04-2022,Payment Successed,07-04-2022,,fedex,Delivered
65,641,2,245,07-02-2020,Cancelled,1,1299.99,07-02-2020,Payment Failed,,,,
66,547,2,47,19-02-2022,Completed,1,999.99,19-02-2022,Payment Successed,21-02-2022,,fedex,Delivered
67,662,3,139,01-10-2022,Completed,1,199.99,01-10-2022,Payment Successed,03-10-2022,,fedex,Delivered
68,619,3,113,15-03-2023,Completed,1,299.99,15-03-2023,Payment Successed,17-03-2023,,fedex,Delivered
69,543,1,191,06-09-2021,Completed,1,1299.99,06-09-2021,Payment Successed,10-09-2021,,fedex,Delivered
70,624,5,203,17-12-2022,Completed,3,79.99,17-12-2022,Payment Successed,19-12-2022,,fedex,Delivered
71,747,5,88,16-09-2020,Completed,1,349.99,16-09-2020,Payment Successed,21-09-2020,,dhl,Delivered
72,567,2,124,14-05-2020,Completed,1,179.99,14-05-2020,Payment Successed,16-05-2020,,fedex,Delivered
73,721,3,86,24-09-2021,Completed,3,329.99,24-09-2021,Payment Successed,27-09-2021,,dhl,Delivered
74,550,4,210,20-06-2020,Completed,1,379.99,20-06-2020,Payment Successed,22-06-2020,,fedex,Delivered
75,721,3,110,22-09-2022,Completed,1,149.99,22-09-2022,Payment Successed,24-09-2022,,dhl,Delivered
76,614,2,109,12-06-2023,Completed,1,49.99,12-06-2023,Payment Successed,15-06-2023,,fedex,Delivered
77,595,2,199,02-12-2022,Completed,1,229.99,02-12-2022,Payment Successed,03-12-2022,,fedex,Delivered
78,613,4,158,17-06-2020,Completed,1,179.99,17-06-2020,Payment Successed,19-06-2020,,fedex,Delivered
79,560,5,68,13-05-2021,Completed,1,1299.99,13-05-2021,Payment Successed,14-05-2021,,fedex,Delivered
80,649,5,249,18-08-2023,Completed,1,1399.99,18-08-2023,Payment Successed,21-08-2023,,fedex,Delivered
81,584,2,150,13-11-2020,Completed,1,699.99,13-11-2020,Payment Successed,16-11-2020,,fedex,Delivered
82,569,5,158,02-10-2020,Completed,1,179.99,02-10-2020,Payment Successed,06-10-2020,,fedex,Delivered
83,668,4,186,20-04-2021,Completed,1,299.99,20-04-2021,Payment Successed,23-04-2021,,fedex,Delivered
84,722,2,62,13-04-2023,Completed,1,399.99,13-04-2023,Payment Successed,18-04-2023,,dhl,Delivered
85,693,3,134,04-06-2022,Returned,3,399.99,04-06-2022,Refunded ,06-06-2022,13-06-2022,bluedart,Returned 
86,583,5,39,21-02-2023,Completed,1,1199.99,21-02-2023,Payment Successed,23-02-2023,,fedex,Delivered
87,218,3,173,14-10-2023,Completed,1,259.99,14-10-2023,Payment Successed,19-10-2023,,fedex,Delivered
88,541,4,69,17-05-2021,Completed,1,1799.99,17-05-2021,Payment Successed,20-05-2021,,fedex,Delivered
89,622,1,46,19-01-2023,Completed,1,1699.99,19-01-2023,Payment Successed,21-01-2023,,fedex,Delivered
90,583,3,1,20-12-2021,Completed,1,199.99,20-12-2021,Payment Successed,22-12-2021,,fedex,Delivered
91,728,5,111,23-11-2023,Completed,1,1399.99,23-11-2023,Payment Successed,25-11-2023,,dhl,Delivered
92,661,3,26,05-11-2022,Completed,1,2499.99,05-11-2022,Payment Successed,08-11-2022,,fedex,Delivered
93,546,3,33,03-01-2022,Completed,1,149.99,03-01-2022,Payment Successed,06-01-2022,,fedex,Delivered
94,728,1,193,09-02-2024,Completed,1,2499.99,09-02-2024,Payment Successed,12-02-2024,,dhl,Delivered
95,547,1,88,18-08-2022,Completed,1,349.99,18-08-2022,Payment Successed,19-08-2022,,fedex,Delivered
96,686,3,29,27-06-2021,Returned,1,79.99,27-06-2021,Refunded ,28-06-2021,08-07-2021,bluedart,Returned 
97,721,1,141,13-04-2022,Completed,1,229.99,13-04-2022,Payment Successed,18-04-2022,,dhl,Delivered
98,629,3,61,29-05-2021,Completed,1,999.99,29-05-2021,Payment Successed,02-06-2021,,fedex,Delivered
99,678,3,19,14-10-2023,Returned,1,999.99,14-10-2023,Refunded ,19-10-2023,02-11-2023,dhl,Returned 
100,709,5,249,11-07-2023,Completed,1,1399.99,11-07-2023,Payment Successed,14-07-2023,,fedex,Delivered
101,637,5,191,07-01-2020,Completed,1,1299.99,07-01-2020,Payment Successed,10-01-2020,,fedex,Delivered
102,589,4,126,24-01-2024,Completed,1,1699.99,24-01-2024,Payment Successed,27-01-2024,,fedex,Delivered
103,593,5,231,12-07-2020,Completed,1,3499.99,12-07-2020,Payment Successed,16-07-2020,,fedex,Delivered
104,597,2,133,02-05-2022,Completed,1,169.99,02-05-2022,Payment Successed,06-05-2022,,fedex,Delivered
105,240,1,166,07-05-2022,Completed,1,1299.99,07-05-2022,Payment Successed,08-05-2022,,fedex,Delivered
106,749,2,100,05-11-2022,Completed,1,449.99,05-11-2022,Payment Successed,10-11-2022,,dhl,Delivered
107,572,3,182,13-05-2021,Completed,1,1499.99,13-05-2021,Payment Successed,14-05-2021,,fedex,Delivered
108,690,5,137,23-06-2020,Returned,1,169.99,23-06-2020,Refunded ,27-06-2020,04-07-2020,bluedart,Returned 
109,222,1,187,06-01-2024,Completed,1,799.99,06-01-2024,Payment Successed,08-01-2024,,fedex,Delivered
110,711,3,42,03-06-2022,Completed,1,719.99,03-06-2022,Payment Successed,04-06-2022,,fedex,Delivered
111,575,5,135,04-02-2023,Completed,3,699.99,04-02-2023,Payment Successed,09-02-2023,,fedex,Delivered
112,620,3,156,04-11-2023,Completed,1,99.99,04-11-2023,Payment Successed,09-11-2023,,fedex,Delivered
113,659,2,248,27-10-2023,Completed,1,2299.99,27-10-2023,Payment Successed,31-10-2023,,fedex,Delivered
114,694,5,137,25-04-2023,Returned,1,169.99,25-04-2023,Refunded ,26-04-2023,08-05-2023,bluedart,Returned 
115,646,2,52,17-11-2022,Completed,1,1799.99,17-11-2022,Payment Successed,21-11-2022,,fedex,Delivered
116,687,2,141,02-01-2024,Returned,1,229.99,02-01-2024,Refunded ,03-01-2024,13-01-2024,bluedart,Returned 
117,591,4,62,07-08-2020,Completed,1,399.99,07-08-2020,Payment Successed,08-08-2020,,fedex,Delivered
118,646,4,154,08-04-2022,Completed,1,99.99,08-04-2022,Payment Successed,09-04-2022,,fedex,Delivered
119,662,1,135,19-11-2023,Completed,1,699.99,19-11-2023,Payment Successed,21-11-2023,,fedex,Delivered
120,684,5,119,27-05-2023,Returned,2,249.99,27-05-2023,Refunded ,30-05-2023,09-06-2023,bluedart,Returned 
121,626,1,181,14-08-2021,Completed,1,799.99,14-08-2021,Payment Successed,18-08-2021,,fedex,Delivered
122,636,2,78,14-04-2022,Completed,1,799.99,14-04-2022,Payment Successed,15-04-2022,,fedex,Delivered
123,588,4,210,25-11-2022,Completed,1,379.99,25-11-2022,Payment Successed,26-11-2022,,fedex,Delivered
124,737,5,208,03-11-2020,Completed,1,399.99,03-11-2020,Payment Successed,04-11-2020,,dhl,Delivered
125,584,5,3,16-07-2022,Completed,1,249.99,16-07-2022,Payment Successed,18-07-2022,,fedex,Delivered
126,569,5,14,10-09-2022,Completed,1,999.99,10-09-2022,Payment Successed,14-09-2022,,fedex,Delivered
127,601,4,31,05-12-2021,Completed,1,179.99,05-12-2021,Payment Successed,07-12-2021,,fedex,Delivered
128,652,4,156,25-02-2022,Completed,1,99.99,25-02-2022,Payment Successed,02-03-2022,,fedex,Delivered
129,474,3,167,19-01-2024,Completed,1,99.99,19-01-2024,Payment Successed,22-01-2024,,fedex,Delivered
130,632,1,24,31-03-2023,Completed,1,1999.99,31-03-2023,Payment Successed,01-04-2023,,fedex,Delivered
131,677,4,32,04-03-2023,Returned,1,179.99,04-03-2023,Refunded ,08-03-2023,20-03-2023,dhl,Returned 
132,589,4,37,03-06-2020,Completed,1,399.99,03-06-2020,Payment Successed,04-06-2020,,fedex,Delivered
133,577,3,79,25-01-2024,Completed,1,999.99,25-01-2024,Payment Successed,26-01-2024,,fedex,Delivered
134,716,4,73,21-05-2023,Completed,1,999.99,21-05-2023,Payment Successed,23-05-2023,,dhl,Delivered
135,682,4,195,01-03-2021,Returned,1,229.99,01-03-2021,Refunded ,03-03-2021,11-03-2021,bluedart,Returned 
136,596,5,159,14-01-2024,Completed,1,129.99,14-01-2024,Payment Successed,19-01-2024,,fedex,Delivered
137,739,2,239,07-03-2023,Completed,1,699.99,07-03-2023,Payment Successed,11-03-2023,,dhl,Delivered
138,679,1,166,27-10-2022,Returned,1,1299.99,27-10-2022,Refunded ,31-10-2022,08-11-2022,dhl,Returned 
139,577,3,3,16-09-2021,Completed,3,249.99,16-09-2021,Payment Successed,17-09-2021,,fedex,Delivered
140,700,4,98,23-01-2024,Completed,1,2299.99,23-01-2024,Payment Successed,27-01-2024,,fedex,Delivered
141,683,5,47,29-12-2021,Returned,1,999.99,29-12-2021,Refunded ,03-01-2022,10-01-2022,bluedart,Returned 
142,673,1,108,16-09-2020,Returned,1,229.99,16-09-2020,Refunded ,21-09-2020,03-10-2020,dhl,Returned 
143,566,3,108,02-12-2023,Completed,3,229.99,02-12-2023,Payment Successed,04-12-2023,,fedex,Delivered
144,608,2,38,14-01-2022,Completed,1,799.99,14-01-2022,Payment Successed,16-01-2022,,fedex,Delivered
145,632,2,117,10-02-2021,Completed,1,139.99,10-02-2021,Payment Successed,15-02-2021,,fedex,Delivered
146,696,1,171,20-07-2023,Returned,1,129.99,20-07-2023,Refunded ,24-07-2023,05-08-2023,bluedart,Returned 
147,450,1,9,18-11-2020,Completed,1,449.99,18-11-2020,Payment Successed,23-11-2020,,fedex,Delivered
148,675,1,74,10-02-2021,Returned,1,399.99,10-02-2021,Refunded ,14-02-2021,27-02-2021,dhl,Returned 
149,566,4,94,23-04-2023,Completed,1,149.99,23-04-2023,Payment Successed,26-04-2023,,fedex,Delivered
150,676,5,5,11-07-2020,Returned,1,249.99,11-07-2020,Refunded ,16-07-2020,30-07-2020,dhl,Returned 
151,600,5,217,20-11-2020,Completed,1,229.99,20-11-2020,Payment Successed,23-11-2020,,fedex,Delivered
152,670,4,180,18-10-2021,Returned,1,379.99,18-10-2021,Refunded ,21-10-2021,29-10-2021,dhl,Returned 
153,658,2,149,02-04-2020,Completed,1,229.99,02-04-2020,Payment Successed,07-04-2020,,fedex,Delivered
154,650,3,82,08-08-2021,Completed,1,699.99,08-08-2021,Payment Successed,11-08-2021,,fedex,Delivered
155,417,1,123,10-04-2021,Completed,1,229.99,10-04-2021,Payment Successed,14-04-2021,,fedex,Delivered
156,595,2,55,19-06-2020,Completed,1,649.99,19-06-2020,Payment Successed,24-06-2020,,fedex,Delivered
157,730,1,212,26-02-2023,Completed,1,1399.99,26-02-2023,Payment Successed,28-02-2023,,dhl,Delivered
158,621,4,155,29-06-2021,Completed,1,379.99,29-06-2021,Payment Successed,03-07-2021,,fedex,Delivered
159,55,2,60,09-10-2020,Inprogress,1,1299.99,09-10-2020,Payment Successed,13-10-2020,,bluedart,Shipped
160,746,1,7,28-09-2022,Completed,3,1799.99,28-09-2022,Payment Successed,03-10-2022,,dhl,Delivered
161,670,1,193,05-06-2020,Returned,2,2499.99,05-06-2020,Refunded ,09-06-2020,16-06-2020,dhl,Returned 
162,668,2,221,19-02-2023,Completed,1,2299.99,19-02-2023,Payment Successed,22-02-2023,,fedex,Delivered
163,586,4,108,04-06-2022,Completed,1,229.99,04-06-2022,Payment Successed,09-06-2022,,fedex,Delivered
164,684,4,237,03-09-2023,Returned,1,1399.99,03-09-2023,Refunded ,06-09-2023,16-09-2023,bluedart,Returned 
165,746,3,187,01-03-2020,Completed,1,799.99,01-03-2020,Payment Successed,05-03-2020,,dhl,Delivered
166,590,3,51,08-01-2023,Completed,1,2099.99,08-01-2023,Payment Successed,10-01-2023,,fedex,Delivered
167,636,3,137,22-11-2023,Completed,1,169.99,22-11-2023,Payment Successed,25-11-2023,,fedex,Delivered
168,548,5,57,23-09-2023,Completed,1,699.99,23-09-2023,Payment Successed,25-09-2023,,fedex,Delivered
169,630,5,80,28-01-2024,Completed,1,1299.99,28-01-2024,Payment Successed,02-02-2024,,fedex,Delivered
170,600,5,186,16-04-2021,Completed,2,299.99,16-04-2021,Payment Successed,18-04-2021,,fedex,Delivered
171,675,5,96,16-12-2023,Returned,1,219.99,16-12-2023,Refunded ,18-12-2023,27-12-2023,dhl,Returned 
172,654,3,101,23-02-2023,Completed,1,79.99,23-02-2023,Payment Successed,27-02-2023,,fedex,Delivered
173,551,5,44,23-10-2023,Completed,3,599.99,23-10-2023,Payment Successed,27-10-2023,,fedex,Delivered
174,547,2,166,01-06-2021,Completed,1,1299.99,01-06-2021,Payment Successed,04-06-2021,,fedex,Delivered
175,621,4,63,16-05-2023,Completed,1,499.99,16-05-2023,Payment Successed,18-05-2023,,fedex,Delivered
176,653,2,36,16-04-2021,Completed,1,399.99,16-04-2021,Payment Successed,19-04-2021,,fedex,Delivered
177,738,1,38,07-09-2020,Completed,1,799.99,07-09-2020,Payment Successed,10-09-2020,,dhl,Delivered
178,552,2,245,07-01-2022,Completed,1,1299.99,07-01-2022,Payment Successed,12-01-2022,,fedex,Delivered
179,681,5,191,14-05-2023,Returned,3,1299.99,14-05-2023,Refunded ,19-05-2023,28-05-2023,bluedart,Returned 
180,695,1,147,22-03-2021,Returned,1,1299.99,22-03-2021,Refunded ,24-03-2021,07-04-2021,bluedart,Returned 
181,578,2,66,18-09-2020,Completed,1,849.99,18-09-2020,Payment Successed,19-09-2020,,fedex,Delivered
182,638,3,101,17-04-2022,Completed,1,79.99,17-04-2022,Payment Successed,22-04-2022,,fedex,Delivered
183,665,4,41,12-03-2021,Completed,1,899.99,12-03-2021,Payment Successed,14-03-2021,,fedex,Delivered
184,676,5,217,20-11-2022,Returned,1,229.99,20-11-2022,Refunded ,22-11-2022,30-11-2022,dhl,Returned 
185,626,3,67,10-05-2023,Completed,1,279.99,10-05-2023,Payment Successed,15-05-2023,,fedex,Delivered
186,672,3,63,19-05-2021,Returned,1,499.99,19-05-2021,Refunded ,20-05-2021,02-06-2021,dhl,Returned 
187,662,2,132,15-08-2023,Completed,2,1199.99,15-08-2023,Payment Successed,16-08-2023,,fedex,Delivered
188,732,5,50,15-02-2022,Completed,1,999.99,15-02-2022,Payment Successed,20-02-2022,,dhl,Delivered
189,704,4,147,24-05-2023,Completed,1,1299.99,24-05-2023,Payment Successed,27-05-2023,,fedex,Delivered
190,650,2,69,04-02-2020,Completed,1,1799.99,04-02-2020,Payment Successed,06-02-2020,,fedex,Delivered
191,480,2,250,28-12-2023,Completed,3,149.99,28-12-2023,Payment Successed,31-12-2023,,fedex,Delivered
192,647,3,213,18-12-2021,Completed,1,99.99,18-12-2021,Payment Successed,23-12-2021,,fedex,Delivered
193,662,3,176,05-04-2023,Completed,1,949.99,05-04-2023,Payment Successed,10-04-2023,,fedex,Delivered
194,690,2,46,16-02-2023,Returned,1,1699.99,16-02-2023,Refunded ,20-02-2023,01-03-2023,bluedart,Returned 
195,733,5,14,04-12-2023,Completed,1,999.99,04-12-2023,Payment Successed,06-12-2023,,dhl,Delivered
196,674,1,81,29-02-2020,Returned,1,299.99,29-02-2020,Refunded ,03-03-2020,15-03-2020,dhl,Returned 
197,654,5,111,01-01-2021,Completed,1,1399.99,01-01-2021,Payment Successed,04-01-2021,,fedex,Delivered
198,636,4,119,29-05-2023,Completed,1,249.99,29-05-2023,Payment Successed,30-05-2023,,fedex,Delivered
199,668,1,88,22-09-2023,Completed,1,349.99,22-09-2023,Payment Successed,26-09-2023,,fedex,Delivered
200,686,4,171,29-08-2020,Returned,1,129.99,29-08-2020,Refunded ,31-08-2020,13-09-2020,bluedart,Returned 
201,708,1,7,25-03-2020,Completed,1,1799.99,25-03-2020,Payment Successed,27-03-2020,,fedex,Delivered
202,607,5,67,08-05-2021,Completed,1,279.99,08-05-2021,Payment Successed,11-05-2021,,fedex,Delivered
203,550,5,192,27-05-2022,Completed,1,1499.99,27-05-2022,Payment Successed,30-05-2022,,fedex,Delivered
204,677,3,68,20-06-2021,Returned,1,1299.99,20-06-2021,Refunded ,25-06-2021,05-07-2021,dhl,Returned 
205,732,2,180,19-03-2021,Completed,1,379.99,19-03-2021,Payment Successed,22-03-2021,,dhl,Delivered
206,553,2,234,30-12-2021,Completed,1,1299.99,30-12-2021,Payment Successed,03-01-2022,,fedex,Delivered
207,622,4,226,06-12-2023,Completed,1,399.99,06-12-2023,Payment Successed,07-12-2023,,fedex,Delivered
208,565,3,156,12-04-2020,Completed,1,99.99,12-04-2020,Payment Successed,15-04-2020,,fedex,Delivered
209,683,5,163,24-07-2020,Returned,1,39.99,24-07-2020,Refunded ,29-07-2020,11-08-2020,bluedart,Returned 
210,591,4,243,21-10-2020,Completed,1,1999.99,21-10-2020,Payment Successed,23-10-2020,,fedex,Delivered
211,588,3,183,24-07-2020,Completed,1,849.99,24-07-2020,Payment Successed,28-07-2020,,fedex,Delivered
212,631,5,217,04-05-2023,Completed,1,229.99,04-05-2023,Payment Successed,09-05-2023,,fedex,Delivered
213,340,4,52,07-05-2021,Completed,1,1799.99,07-05-2021,Payment Successed,09-05-2021,,fedex,Delivered
214,674,4,176,06-02-2023,Returned,1,949.99,06-02-2023,Refunded ,10-02-2023,20-02-2023,dhl,Returned 
215,749,1,227,29-01-2023,Completed,1,79.99,29-01-2023,Payment Successed,31-01-2023,,dhl,Delivered
216,586,5,26,26-10-2020,Completed,1,2499.99,26-10-2020,Payment Successed,28-10-2020,,fedex,Delivered
217,321,4,1,03-01-2024,Completed,3,199.99,03-01-2024,Payment Successed,04-01-2024,,fedex,Delivered
218,598,3,218,30-10-2023,Completed,1,799.99,30-10-2023,Payment Successed,01-11-2023,,fedex,Delivered
219,578,3,225,04-01-2024,Completed,1,999.99,04-01-2024,Payment Successed,09-01-2024,,fedex,Delivered
220,685,3,89,06-05-2020,Returned,1,299.99,06-05-2020,Refunded ,11-05-2020,24-05-2020,bluedart,Returned 
221,625,4,34,12-02-2023,Completed,1,279.99,12-02-2023,Payment Successed,17-02-2023,,fedex,Delivered
222,654,4,236,21-01-2024,Completed,1,749.99,21-01-2024,Payment Successed,25-01-2024,,fedex,Delivered
223,735,3,120,05-06-2020,Completed,3,79.99,05-06-2020,Payment Successed,10-06-2020,,dhl,Delivered
224,606,2,175,30-09-2023,Completed,1,149.99,30-09-2023,Payment Successed,01-10-2023,,fedex,Delivered
225,650,3,53,24-12-2021,Completed,1,1899.99,24-12-2021,Payment Successed,29-12-2021,,fedex,Delivered
226,703,1,202,25-01-2023,Completed,1,249.99,25-01-2023,Payment Successed,29-01-2023,,fedex,Delivered
227,553,3,34,20-11-2023,Completed,1,279.99,20-11-2023,Payment Successed,23-11-2023,,fedex,Delivered
228,606,5,98,24-06-2022,Completed,1,2299.99,24-06-2022,Payment Successed,28-06-2022,,fedex,Delivered
229,633,3,236,12-01-2023,Completed,1,749.99,12-01-2023,Payment Successed,16-01-2023,,fedex,Delivered
230,692,1,100,18-12-2021,Returned,1,449.99,18-12-2021,Refunded ,22-12-2021,01-01-2022,bluedart,Returned 
231,676,3,203,25-05-2022,Returned,1,79.99,25-05-2022,Refunded ,27-05-2022,05-06-2022,dhl,Returned 
232,632,3,239,24-09-2020,Completed,3,699.99,24-09-2020,Payment Successed,27-09-2020,,fedex,Delivered
233,628,4,17,06-06-2020,Completed,1,699.99,06-06-2020,Payment Successed,09-06-2020,,fedex,Delivered
234,703,4,4,18-09-2020,Completed,1,249.99,18-09-2020,Payment Successed,19-09-2020,,fedex,Delivered
235,727,3,171,26-07-2020,Completed,1,129.99,26-07-2020,Payment Successed,27-07-2020,,dhl,Delivered
236,591,2,243,17-10-2020,Completed,1,1999.99,17-10-2020,Payment Successed,18-10-2020,,fedex,Delivered
237,551,4,51,11-08-2020,Completed,1,2099.99,11-08-2020,Payment Successed,12-08-2020,,fedex,Delivered
238,658,1,1,01-01-2020,Completed,1,199.99,01-01-2020,Payment Successed,02-01-2020,,fedex,Delivered
239,748,3,234,25-02-2023,Completed,1,1299.99,25-02-2023,Payment Successed,27-02-2023,,dhl,Delivered
240,737,3,77,18-12-2023,Completed,1,499.99,18-12-2023,Payment Successed,19-12-2023,,dhl,Delivered
241,742,3,230,21-06-2021,Completed,1,1399.99,21-06-2021,Payment Successed,25-06-2021,,dhl,Delivered
242,657,3,14,09-07-2021,Completed,1,999.99,09-07-2021,Payment Successed,14-07-2021,,fedex,Delivered
